,Time,Subcar_0,Subcar_1,Subcar_2,Subcar_3,Subcar_4,Subcar_5,Subcar_6,Subcar_7,Subcar_8,Subcar_9,Subcar_10,Subcar_11,Subcar_12,Subcar_13,Subcar_14,Subcar_15,Subcar_16,Subcar_17,Subcar_18,Subcar_19,Subcar_20,Subcar_21,Subcar_22,Subcar_23,Subcar_24,Subcar_25,Subcar_26,Subcar_27,Subcar_28,Subcar_29,Subcar_30,Subcar_31,Subcar_32,Subcar_33,Subcar_34,Subcar_35,Subcar_36Subcar_37,Subcar_38,Subcar_39,Subcar_40,Subcar_41,Subcar_42,Subcar_43,Subcar_44,Subcar_45,Subcar_46,Subcar_47,Subcar_48,Subcar_49,Subcar_50,Subcar_51,Subcar_52,Subcar_53,Subcar_54,Subcar_55,Subcar_56,Subcar_57,Subcar_58,Subcar_59,Subcar_60,Subcar_61
0,1641598542,5499.938181,7461.867126,6230.129694,8741.921642,297.1279186,327.2002445,362.5272404,353.4119409,351.4327816,353.7937252,347.3154186,349.9057016,369.545667,396.7177838,443.1895757,482.8799023,546.7723475,601.2803007,636.0015723,659.0963511,663.7017402,696.2083022,712.5678915,715.4257474,733.8998569,736.9538656,744.4944593,737.0332421,712.0933928,682.7481234,591.5851587,377.2598574,6669.443305,390.2870738,597.7298721,682.6419266,707.800113,725.2530593,721.0443814,714.0308117,709.3215068,699.0886925,683.4917703,690.889282,662.8921481,658.3676784,640.7846752,618.9959612,575.7820768,520.239368,471.9364364,437.6494031,412.093436,393.7829351,396.807258,398.6000502,399.4508731,405.544079,402.95161,372.6258177,343.9142335
1,1641598543,5499.938181,7461.867126,6230.129694,8741.921642,350.9102449,340.5657058,338.0133133,332.434956,327.2323334,319.820262,315.3173005,310.3868554,313.3592188,328.6715686,360.6008874,395.2518185,424.2734967,465.740271,487.0615977,496.5652022,491.6879091,498.7955493,499.9569982,500.5377109,511.1653353,510.7298699,508.3246994,506.6162256,473.5419728,460.3618142,403.1935019,251.5571506,6669.443305,265.9567634,405.0098764,468.6149806,486.6836755,510.484084,514.062253,522.3351415,518.6453509,512.5192679,504.5869598,515.0786348,509.8480166,512.6568053,511.1878324,489.2872367,455.2471856,423.7098064,390.8580305,367.7662301,339.4849039,339.0870095,343.0830803,343.7397271,346.9437995,351.0398838,350,353.5095473,361.7637351
2,1641598544,5499.938181,7461.867126,6230.129694,8741.921642,357.5723703,389.3070767,421.9111281,424.0011792,447.754397,441.2799565,441.3671941,461.6773765,465.6490094,500.372861,563.9689708,649.0030817,696.6814193,784.5317075,808.7879821,839.8690374,863.6602341,873.8335082,907.6128029,917.8981425,945.33063,932.0085837,947.9815399,927.4378685,888.9010069,854.3535568,739.8702589,463.3896848,6669.443305,485.0938054,734.4964261,849.300889,872.2161429,920.2526827,931.9876609,933.2352329,924.1758491,885.3936977,871.909399,864.6502183,856.1051337,835.4507765,813.9410298,748.4817967,672.8996953,599.1410518,524.1087673,466.3099827,418.1196001,397.9359245,387.9858245,371.2600167,354.9830982,338.7107911,315.4837555,278.1959741,245.7905613
3,1641598545,5499.938181,7461.867126,6230.129694,8741.921642,507.3854551,518.6530632,533.3488539,545.4246052,542.4923963,562.6944108,538.6742986,580.4007236,591.6223458,644.9201501,719.7443991,749.8493182,827.8315046,923.8224938,946.7935361,950.0447358,944.9021113,961.942306,968.1224096,938.7017631,926.6563549,930.8275888,904.726478,874.789689,832.9135609,773.1397028,665.5659246,426.8044049,6669.443305,435.1781245,632.0142403,736.1148008,778.1233835,780.5767099,767.4405514,775.7506043,757.1769938,772.3121131,743.4258537,748.807719,709.4681106,702.7012167,684.0796737,655.6294685,610.351538,538.1087251,508.1417125,459.2439439,413.7064176,406.5033825,392.9987277,389.8025141,381.0721716,390.5086427,384.0026042,387.4970968,393.7829351
4,1641598546,5499.938181,7461.867126,6230.129694,8741.921642,379.1173961,397.5537699,415.2264442,450.4808542,445.5838866,458.4233851,479.8833192,511.3912397,527.3196374,571.5050306,614.3695956,689.3511442,773.5179377,817.2741278,850.2999471,842.0213774,849.4727777,864.916759,862.0591627,829.8686643,810.6003948,789.9145523,779.9724354,751.5510628,705.55014,652.9448675,552.6843584,350.9643857,6669.443305,358.3434107,525.7385282,625.8594091,665.0007519,696.3023768,703.8217104,722.0110802,738.3237772,749.8333148,766.5618044,793.4998425,792.0233582,793.1468969,820.8873248,812.6358348,788.4288173,729.1885901,698.1489812,653.3146256,626.9066916,633.9416377,639.3660923,651.2549424,668.4818621,671.060355,670.3916766,646.2089445,616.5070965
5,1641598547,5499.938181,7461.867126,6230.129694,8741.921642,535.9934701,568.4100632,602.8440926,587.7490961,612.8857969,601.2395529,597.5014644,612.3152783,607.217424,648.398797,720.7676463,720.7676463,844.6064172,913.3657537,939.1400322,921.4792456,921.7906487,935.6414912,944.8068586,912.8592444,927.398512,874.4123741,878.1007915,855.8621384,817.5292044,736.3321261,620.3112122,381.580922,6669.443305,382.7322824,574.0601014,669.9888059,697.0365844,701.4905559,693.8256265,697.4331509,668.6957455,661.037064,655.3121394,640.4100249,632.82304,583.2160835,570.7766639,536.7532021,477.5950167,424.5951012,365.2245884,316.2846819,279.2131802,250,241.0518616,239.4096907,206.1188977,186.300832,165.7377446,148.0607983,143.6001393
6,1641598547,5499.938181,7461.867126,6230.129694,8741.921642,578.6233663,611.4327436,639.4255234,635.8246614,629.9245987,631.7087937,623.773196,629.2217415,638.4011278,692.788568,754.8807853,806.952291,875.1988346,961.9750517,977.9089937,990.8405523,960.2213287,971.7335026,972.8951639,967.3882364,919.6200302,909.63784,885.3485189,852.427123,808.7447063,747.9177762,626.57322,400.535891,6669.443305,401.1097107,587.5312758,664.9751875,710.92053,704.7474725,696.0747086,703.6938255,680.412375,694.4710217,683.6585405,670.89567,648.4944102,637.5013725,621.6309194,611.8079764,558.323383,500.2559345,459.4790528,430.2580621,397,391.2812288,373.4501305,371.2142239,367.1852394,383.8853996,376.0558469,350.766304,320.3513696
7,1641598549,5499.938181,7461.867126,6230.129694,8741.921642,359.2269478,351.627644,359.3007097,360.1888394,367.22745,373.2505861,373.8047619,365.990437,390.1550974,413.2408499,450.6994564,493.0730169,527.3423935,555.4619699,576.086799,581.416374,581.416374,566.8730017,556.641716,551.0081669,546.7842353,525.0342846,535.2952456,526.400038,505.2019398,499.2884938,433.896301,281.7374664,6669.443305,326.0061349,511.5632903,624.4741788,678.6169759,732.8697019,776.8867356,799.1751998,841.885978,867.5695938,891.0808044,927.6766678,950.2236579,983.0732424,996.8289723,985.5029173,936.7203425,877.8997665,808.4806739,759.7710181,718.4740775,713.7296407,729.1981898,729.9842464,732.4069907,755.9927248,742.8330903,726.7310369,703.3007891
8,1641598549,5499.938181,7461.867126,6230.129694,8741.921642,246.9534369,228.8055943,226.126071,237.118114,247.4550464,262.2079328,263.9109698,267.9178979,275.5068057,307.156312,339.1784191,381.9437131,417.0851232,434.2027176,456.845707,460.7613265,444.0382866,427.2996607,415.2131982,388.1288446,397.7750621,376.3787986,378.9841685,381.2781137,373.9906416,375,335.6441568,235.7625925,6669.443305,279.5174413,457.2800017,557.108607,619.4481415,680.0183821,718.3488011,756.1487949,793.2950271,807.021685,841.8913232,874.8994228,891.4824732,917.1575655,932.5105898,901.0049944,866.7514061,797.9329546,739.7972695,692.4658836,650.7718494,633.0157976,656.3078546,646.560902,657.9460464,665.1172829,663.8712225,650.0192305,631.9026824
9,1641598549,5499.938181,7461.867126,6230.129694,8741.921642,554.7071299,533.3413541,521.0239918,507.6071315,489.4343674,473.0010571,463.492179,439.7692577,452.4787288,471.4445885,504.5730869,544.7825254,580.9793456,598.3042704,604.8346882,586.5023444,553.715631,523.6000382,489.2371613,452.2233961,416.9412429,360.4899444,323.7607141,301.444854,285.7271426,279.5800422,240.1020616,176.8756625,6669.443305,246.7144098,427.8469352,549.7172,637.7272144,715.4026838,771.5134477,831.8293094,868.3801011,914.4096456,947.2539258,991.6798879,1031.310816,1069.018241,1091.934522,1079.770809,1034.169232,965.6464156,907.4960055,854.0919154,824.0588571,799.0919847,816.3706266,818.056844,831.2015399,843.0895563,849.1701832,850.342284,841.8645972
